Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Real Estate & Rental & Leasing,1,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,"Professional, Scientific, & Technical Skills",2,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Admin & Support & Waste Mgmt & Remediation,1,,,1,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Educational Services,6,"$25,994","$25,825",1,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Health Care & Social Assistance,5,"$48,324","$51,185",,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Accommodation & Food Services,1,,,1,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Other Services,2,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Non-Classified,1,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Government,1,,,,,
0,1,FTF + FTT,03081 + 03085,3085,Latin/Central American Studies,Wages - No NAICS Code,2,,,2,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Wholesale Trade,1,,,,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Retail Trade,1,,,,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Transportation & Warehousing,1,,,,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Information,1,,,,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Finance & Insurance,1,,,,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Admin & Support & Waste Mgmt & Remediation,4,,,1,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Educational Services,2,,,1,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,"Arts, Entertainment, & Recreation",1,,,1,,
0,1,FTF + FTT,03101 + 03121 + 03122,3122,European Studies,Accommodation & Food Services,2,,,1,,
0,1,FTF + FTT,3131,3131,American Studies,Utilities,1,,,,,
0,1,FTF + FTT,3131,3131,American Studies,Construction,9,"$50,560","$62,785",6,"$50,677","$57,487"
0,1,FTF + FTT,3131,3131,American Studies,Manufacturing,9,"$31,702","$41,179",6,"$54,733","$52,757"
0,1,FTF + FTT,3131,3131,American Studies,Wholesale Trade,17,"$45,646","$50,567",13,"$57,451","$60,670"
0,1,FTF + FTT,3131,3131,American Studies,Retail Trade,37,"$39,841","$39,607",17,"$55,679","$58,575"
0,1,FTF + FTT,3131,3131,American Studies,Transportation & Warehousing,8,"$40,914","$38,275",4,,
0,1,FTF + FTT,3131,3131,American Studies,Information,8,"$51,805","$47,042",6,"$81,092","$106,766"
