Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Admin & Support & Waste Mgmt & Remediation,7,"$33,768","$38,275",,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Educational Services,5,"$6,971","$16,159",,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Health Care & Social Assistance,4,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,"Arts, Entertainment, & Recreation",3,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Accommodation & Food Services,36,"$52,094","$53,227",,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Government,2,,,,,
40,1,FTF + FTT,5081,5081,Hotel and Restaurant/Hospitality Management,Wages - No NAICS Code,1,,,,,
40,1,FTF + FTT,5091,5091,Marketing,"Agriculture, Forestry, Fishing, & Hunting",2,,,,,
40,1,FTF + FTT,5091,5091,Marketing,Utilities,,,,1,,
40,1,FTF + FTT,5091,5091,Marketing,Construction,16,"$63,815","$65,983",2,,
40,1,FTF + FTT,5091,5091,Marketing,Manufacturing,46,"$54,262","$57,818",7,"$86,215","$95,914"
40,1,FTF + FTT,5091,5091,Marketing,Wholesale Trade,75,"$57,418","$61,309",11,"$87,273","$106,684"
40,1,FTF + FTT,5091,5091,Marketing,Retail Trade,94,"$53,602","$59,042",6,"$56,490","$61,290"
40,1,FTF + FTT,5091,5091,Marketing,Transportation & Warehousing,21,"$55,115","$53,186",3,,
40,1,FTF + FTT,5091,5091,Marketing,Information,49,"$76,472","$77,686",8,"$93,633","$86,870"
40,1,FTF + FTT,5091,5091,Marketing,Finance & Insurance,55,"$60,941","$66,999",6,"$58,026","$74,339"
40,1,FTF + FTT,5091,5091,Marketing,Real Estate & Rental & Leasing,25,"$57,414","$58,288",3,,
40,1,FTF + FTT,5091,5091,Marketing,"Professional, Scientific, & Technical Skills",120,"$63,654","$63,968",11,"$85,999","$88,242"
40,1,FTF + FTT,5091,5091,Marketing,Management of Companies & Enterprises,6,"$63,605","$70,830",,,
