Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Mining,1,,,,,
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Utilities,13,"$66,304","$76,475",9,"$122,355","$125,926"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Construction,27,"$34,140","$42,242",10,"$68,141","$97,755"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Manufacturing,90,"$68,438","$71,540",41,"$96,140","$98,025"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Wholesale Trade,45,"$52,664","$60,881",21,"$76,727","$89,821"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Retail Trade,81,"$46,082","$45,193",31,"$61,853","$66,181"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Transportation & Warehousing,8,"$53,266","$47,868",2,,
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Information,32,"$60,584","$65,719",21,"$83,315","$90,071"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Finance & Insurance,116,"$58,183","$63,242",44,"$82,454","$90,990"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Real Estate & Rental & Leasing,29,"$60,514","$56,306",7,"$82,903","$69,637"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"Professional, Scientific, & Technical Skills",89,"$60,692","$63,206",48,"$70,148","$80,322"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Management of Companies & Enterprises,5,"$57,935","$54,283",1,,
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Admin & Support & Waste Mgmt & Remediation,65,"$55,216","$53,275",25,"$52,807","$65,238"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Educational Services,26,"$47,468","$47,388",12,"$49,562","$49,883"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Health Care & Social Assistance,33,"$49,981","$48,729",19,"$63,274","$64,057"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"Arts, Entertainment, & Recreation",13,"$43,342","$47,350",4,,
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Accommodation & Food Services,41,"$37,070","$35,937",12,"$32,847","$37,263"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Other Services,11,"$61,343","$48,241",7,"$66,310","$70,527"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Government,46,"$58,216","$65,916",28,"$84,263","$97,501"
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,Wages - No NAICS Code,17,"$53,972","$61,959",7,"$79,811","$88,777"
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,"Agriculture, Forestry, Fishing, & Hunting",2,,,,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Utilities,2,,,,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Construction,2,,,1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Manufacturing,17,"$67,487","$60,742",1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Wholesale Trade,18,"$63,522","$73,580",3,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Retail Trade,19,"$39,631","$47,695",3,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Transportation & Warehousing,1,,,,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Information,18,"$59,762","$71,583",1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Finance & Insurance,15,"$54,888","$71,396",3,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Real Estate & Rental & Leasing,12,"$50,945","$48,874",,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,"Professional, Scientific, & Technical Skills",22,"$47,496","$48,839",1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Management of Companies & Enterprises,1,,,,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Admin & Support & Waste Mgmt & Remediation,20,"$54,248","$59,496",1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Educational Services,18,"$41,848","$41,505",1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Health Care & Social Assistance,7,"$47,204","$49,565",3,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,"Arts, Entertainment, & Recreation",10,"$16,325","$18,202",,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Accommodation & Food Services,9,"$31,476","$33,929",2,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Other Services,10,"$42,214","$44,907",1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Government,6,"$66,879","$73,629",1,,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,Wages - No NAICS Code,3,,,,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Manufacturing,6,"$89,743","$92,866",2,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Wholesale Trade,3,,,1,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Retail Trade,4,,,1,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Information,16,"$80,052","$85,821",9,"$127,102","$155,772"
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Finance & Insurance,6,"$74,322","$76,250",2,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Real Estate & Rental & Leasing,2,,,,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,"Professional, Scientific, & Technical Skills",40,"$92,992","$91,585",7,"$77,408","$111,955"
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Admin & Support & Waste Mgmt & Remediation,5,"$81,918","$71,224",3,,
