guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,
185076e4-126a-2761-7fd9-71e243304dba,FTF,Ethnic Studies,10500,0.162183,0.18713,0.31551,
b9605509-69c1-ab02-6069-d0d01ca4ab83,FTF,European Studies,0,0.082713,0.09114,0.11915,
37251572-719d-b183-a1fe-f1f4a60dc1e9,FTF,European Studies,4500,0.095975,0.10733,0.14994,
12ff0701-65e7-8dfe-8831-45ce8938eb66,FTF,European Studies,10500,0.121857,0.14157,0.25192,
a9896439-6ff4-2e1d-f757-b62262be7b65,FTF,Family and Consumer Sciences,0,0.139841,0.15259,0.19532,
f71e4b1e-e467-0513-c21e-1ccc91223f4d,FTF,Family and Consumer Sciences,4500,0.159945,0.17726,0.24212,
f2337fed-c83f-118d-b58f-2d2067132fc3,FTF,Family and Consumer Sciences,10500,0.199460,0.22947,0.39237,
20253329-b8f8-f636-8b07-85eb90db6cd3,FTF,Finance,0,0.206719,0.22290,0.27751,
dc5bf9c4-5141-be1d-c3b8-ea29f1d8bf31,FTF,Finance,4500,0.232260,0.25436,0.33805,
187213b1-6157-2efb-49cf-2727ca18a1f9,FTF,Finance,10500,0.282833,0.32160,0.54149,
43109c48-3e1f-f94b-f08a-8177f52b77e3,FTF,Food Science and Technology,0,0.214705,0.23054,0.28398,
ecf742ed-1747-5bf1-2258-6e6a55d0f771,FTF,Food Science and Technology,4500,0.239691,0.26132,0.34343,
45ffb918-957a-fe85-e7e2-9b0edca01452,FTF,Food Science and Technology,10500,0.289198,0.32725,0.54536,
a94a6e30-b5c7-e73e-4b4e-1e6d68c5dac9,FTF,French,0,0.086638,0.09229,0.10966,
3583f39a-56bd-1855-6ac5-9a683b89390a,FTF,French,4500,0.095441,0.10259,0.12644,
90c62014-b007-6a23-7de5-4a4d20dbc121,FTF,French,10500,0.111230,0.12211,0.16872,
695896d5-7b41-a148-63f4-8f9e9693b079,FTF,Geography,0,0.165690,0.17785,0.21807,
1cec1d3c-9021-eb9c-7fa4-0dd476962fd5,FTF,Geography,4500,0.184830,0.20116,0.26142,
eeb508bf-e808-bddc-5f92-9403b1ce2d23,FTF,Geography,10500,0.221927,0.24976,0.39797,
b700891f-6842-864e-948c-b84181276ec8,FTF,Geology,0,0.198326,0.21386,0.26619,
1bdf1bf0-3f8d-fbca-0051-d3a51b9adcde,FTF,Geology,4500,0.222838,0.24402,0.32399,
1a766ea8-2bc5-a428-a7e0-17c169bcb2fe,FTF,Geology,10500,0.271274,0.30831,0.51594,
d8abfab5-cebd-5bd3-40ab-8e4c219a0452,FTF,German,0,0.112566,0.12092,0.14762,
5ab62269-624f-d015-dd32-79796c01d8e5,FTF,German,4500,0.125650,0.13656,0.17493,
13137816-eb1e-a28f-3e3f-ae0796d4f420,FTF,German,10500,0.150108,0.16772,0.25119,
4c2b1551-f289-9b77-9eb0-c0bd35643265,FTF,Graphic Design,0,0.165355,0.17863,0.22322,
d3823fa4-a2d2-fa8a-a63d-8ae200cbe894,FTF,Graphic Design,4500,0.186286,0.20435,0.27238,
55f11e7a-865f-1bef-dc81-e1c3ad97f963,FTF,Graphic Design,10500,0.227554,0.25905,0.43326,
bd12b66b-cab8-beb6-6be1-ec2adeeba5fd,FTF,Health Care Management/Administration,0,0.156559,0.17029,0.21692,
b53efee7-5a97-e47f-a28e-8424a0165d24,FTF,Health Care Management/Administration,4500,0.178252,0.19710,0.26894,
41202501-0612-398d-ab43-0bae3fb134e6,FTF,Health Care Management/Administration,10500,0.221478,0.25478,0.44174,
c3b32f6d-f975-4a7f-bb04-887a34dd5c95,FTF,Health Education,0,0.123017,0.13298,0.16590,
95b53acf-ab21-cce0-0999-3b6b56d35182,FTF,Health Education,4500,0.138693,0.15206,0.20142,
20fbb6a8-7f1a-fb02-f7c4-4787bc9fab90,FTF,Health Education,10500,0.169058,0.19186,0.31288,
ed1fd237-26f4-84b4-c629-38a223dc6941,FTF,Health Science,0,0.156769,0.16865,0.20814,
580730aa-7c0e-4418-4c87-cad6b71fa64c,FTF,Health Science,4500,0.175484,0.19151,0.25104,
b69bef75-0566-16ae-630f-58b5db57ac5f,FTF,Health Science,10500,0.211947,0.23946,0.38806,
8ef1aab3-d4c1-627d-1930-3f618455e426,FTF,History,0,0.151354,0.16223,0.19794,
70ec877e-97e7-783d-94b0-503adf9fccc8,FTF,History,4500,0.168453,0.18297,0.23601,
72257fdf-f3a0-de53-a3e7-d95548f5ed6b,FTF,History,10500,0.201341,0.22581,0.35254,
77e32fcb-9270-f60f-ee9a-887ddbda2807,FTF,Hotel and Restaurant/Hospitality Management,0,0.164432,0.17793,0.22342,
79eadb56-010b-4af2-0d82-a40d041eed3e,FTF,Hotel and Restaurant/Hospitality Management,4500,0.185723,0.20414,0.27380,
bf761ec2-c44a-3410-6fef-4d47312f9911,FTF,Hotel and Restaurant/Hospitality Management,10500,0.227850,0.26012,0.44010,
9fcc0ff2-41ab-a3d7-064c-fdf364f2d43e,FTF,Human Development,0,0.127803,0.13854,0.17424,
f27faa05-e751-5cf7-1240-ae73b5b03e25,FTF,Human Development,4500,0.144714,0.15920,0.21299,
298535dc-7971-bcac-f958-7eb8d4e40618,FTF,Human Development,10500,0.177675,0.20254,0.33493,
6f67401e-76ca-5387-3c6f-d59c1d198ddf,FTF,Human Resources/Personnel Management,0,0.176058,0.19110,0.24213,
316f3c14-c2c7-42e9-1a95-1b4a22db09b6,FTF,Human Resources/Personnel Management,4500,0.199818,0.22045,0.29896,
