Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
10,Pomona ,1,FTF + FTT,01130 + 01131,1131,Food Science and Technology,Wages - No NAICS Code,2,,,,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,"Agriculture, Forestry, Fishing, & Hunting",16,"$63,805.00","$49,314.00",2,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Utilities,1,,,,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Construction,4,,,1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Manufacturing,12,"$85,203.00","$78,915.00",3,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Wholesale Trade,10,"$72,368.00","$81,125.00",6,"$107,299.00","$111,779.00"
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Retail Trade,3,,,1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Transportation & Warehousing,,,,1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Information,1,,,,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Finance & Insurance,1,,,1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Real Estate & Rental & Leasing,3,,,1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,"Professional, Scientific, & Technical Skills",8,"$48,965.00","$56,965.00",6,"$73,781.00","$73,614.00"
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Admin & Support & Waste Mgmt & Remediation,14,"$64,000.00","$64,597.00",3,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Educational Services,7,"$25,864.00","$25,391.00",1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,"Arts, Entertainment, & Recreation",8,"$60,884.00","$59,382.00",1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Accommodation & Food Services,4,,,1,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Other Services,3,,,,,
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Government,19,"$62,223.00","$69,170.00",14,"$81,340.00","$81,321.00"
10,Pomona ,1,FTF + FTT,01991 + 01993,1993,Agricultural Biology and Plant & Irrigation Science,Wages - No NAICS Code,11,"$63,018.00","$60,176.00",1,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,"Agriculture, Forestry, Fishing, & Hunting",,,,2,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Mining,1,,,,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Utilities,2,,,2,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Construction,31,"$70,195.00","$77,119.00",17,"$80,799.00","$92,032.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Manufacturing,8,"$78,319.00","$78,275.00",9,"$83,740.00","$93,224.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Wholesale Trade,9,"$61,494.00","$62,308.00",9,"$68,616.00","$57,679.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Retail Trade,16,"$42,492.00","$45,136.00",5,"$65,025.00","$74,482.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Transportation & Warehousing,3,,,1,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Information,5,"$4,001.00","$24,287.00",2,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Finance & Insurance,1,,,,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Real Estate & Rental & Leasing,2,,,1,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,"Professional, Scientific, & Technical Skills",504,"$69,070.00","$69,475.00",269,"$75,775.00","$77,579.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Admin & Support & Waste Mgmt & Remediation,11,"$47,258.00","$51,111.00",8,"$62,183.00","$58,535.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Educational Services,11,"$56,369.00","$48,331.00",13,"$73,769.00","$69,937.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Health Care & Social Assistance,3,,,6,"$43,210.00","$44,278.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,"Arts, Entertainment, & Recreation",7,"$64,371.00","$54,250.00",3,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Accommodation & Food Services,5,"$69,676.00","$61,498.00",1,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Other Services,2,,,1,,
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Government,7,"$87,214.00","$95,383.00",5,"$110,083.00","$94,629.00"
10,Pomona ,1,FTF + FTT,2021,2021,Architecture,Wages - No NAICS Code,,,,2,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,"Agriculture, Forestry, Fishing, & Hunting",,,,4,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Utilities,3,,,2,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Construction,21,"$50,377.00","$52,005.00",6,"$66,424.00","$59,046.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Manufacturing,14,"$45,499.00","$47,167.00",11,"$39,289.00","$57,730.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Wholesale Trade,8,"$49,932.00","$48,209.00",4,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Retail Trade,21,"$38,106.00","$37,671.00",3,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Transportation & Warehousing,7,"$46,794.00","$44,301.00",1,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Information,4,,,3,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Finance & Insurance,4,,,2,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Real Estate & Rental & Leasing,2,,,1,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,"Professional, Scientific, & Technical Skills",228,"$61,327.00","$59,873.00",105,"$74,958.00","$72,611.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Management of Companies & Enterprises,1,,,,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Admin & Support & Waste Mgmt & Remediation,74,"$56,226.00","$53,086.00",31,"$53,457.00","$73,698.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Educational Services,8,"$3,940.00","$21,029.00",5,"$34,666.00","$47,828.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Health Care & Social Assistance,7,"$37,872.00","$44,940.00",2,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,"Arts, Entertainment, & Recreation",15,"$36,243.00","$41,060.00",3,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Accommodation & Food Services,12,"$16,256.00","$27,889.00",6,"$23,624.00","$27,537.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Other Services,1,,,5,"$65,788.00","$56,555.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Non-Classified,1,,,,,
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Government,16,"$72,291.00","$73,528.00",16,"$85,881.00","$81,618.00"
10,Pomona ,1,FTF + FTT,2041,2041,Landscape Architecture,Wages - No NAICS Code,14,"$88,349.00","$88,226.00",17,"$104,203.00","$99,121.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,"Agriculture, Forestry, Fishing, & Hunting",3,,,3,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Utilities,4,,,4,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Construction,25,"$73,162.00","$73,840.00",14,"$77,872.00","$71,036.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Manufacturing,6,"$55,966.00","$51,699.00",4,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Wholesale Trade,9,"$45,462.00","$41,819.00",6,"$60,535.00","$68,872.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Retail Trade,11,"$31,604.00","$29,533.00",4,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Transportation & Warehousing,12,"$57,348.00","$51,309.00",4,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Information,1,,,1,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Finance & Insurance,7,"$38,224.00","$87,095.00",3,,
